Index,Date,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
79,24/11/2018,16,3.5,82,1.6,1092,0.7,0.51,0,3.6,Autumn,No Holiday,Yes
80,12/1/2018,12,-9.6,27,2,1945,-25.1,1.17,0,0,Winter,No Holiday,Yes
81,3/11/2018,17,16.7,45,2.2,772,4.6,0.43,0,0,Autumn,No Holiday,No
82,8/1/2018,19,0.9,88,1.6,290,-0.8,0,0,0.5,Winter,No Holiday,Yes
83,9/8/2018,13,29.7,80,1.7,1312,25.8,0.73,0.4,0,Summer,No Holiday,Yes
84,16/04/2018,23,9.7,33,0.4,2000,-5.8,0,0,0,Spring,No Holiday,Yes
85,18/05/2018,11,16.6,96,0.7,539,15.9,0.41,0,0,Spring,No Holiday,Yes
86,12/12/2017,5,-11.6,45,2.8,1951,-21.1,0,0,0,Winter,No Holiday,Yes
87,31/05/2018,19,25.2,53,3.1,1983,0,0.51,0,0,Spring,No Holiday,Yes
88,30/09/2018,15,21.3,32,3.8,2000,3.9,2.31,0,0,Autumn,No Holiday,No
89,23/10/2018,22,12.3,73,0.9,1392,7.5,0,0,0,Autumn,No Holiday,Yes
90,29/07/2018,14,35.4,43,1.4,2000,20.9,2.48,0,0,Summer,No Holiday,Yes
91,24/01/2018,3,-15.2,30,3.4,2000,-28.9,0,0,0.9,Winter,No Holiday,Yes
92,30/10/2018,11,7.5,36,1.4,1993,-6.6,1.98,0,0,Autumn,No Holiday,Yes
93,31/07/2018,9,30.9,47,1,2000,18.2,1.62,0,0,Summer,No Holiday,Yes
94,20/11/2018,23,9.3,43,3.5,1807,-2.6,0,0,0,Autumn,No Holiday,Yes
95,17/06/2018,17,25.6,58,3.3,865,16.7,0.66,0,0,Summer,No Holiday,Yes
96,12/1/2018,21,-7.4,33,1.4,2000,-20.9,0,0,0,Winter,No Holiday,Yes
97,13/06/2018,7,19.4,69,0.3,1277,13.5,0.42,0,0,Summer,No Holiday,Yes
98,4/6/2018,2,20.1,49,0.8,1978,9,0,0,0,Summer,No Holiday,Yes
99,31/01/2018,7,-3.5,83,1.6,953,-5.9,0,0,3.5,Winter,No Holiday,Yes
100,5/6/2018,3,19.1,72,0.6,1370,13.9,0,0,0,Summer,No Holiday,Yes
101,20/07/2018,7,25.2,75,0.6,1056,20.4,0.34,0,0,Summer,No Holiday,Yes
102,27/09/2018,2,15.7,53,1.4,2000,6.1,0,0,0,Autumn,No Holiday,Yes
103,14/10/2018,4,7.9,76,1.3,771,3.9,0,0,0,Autumn,No Holiday,Yes
104,23/03/2018,0,2.9,72,1.3,903,-1.6,0,0,0,Spring,No Holiday,Yes
105,11/10/2018,19,11.1,43,2,2000,-1,0,0,0,Autumn,No Holiday,Yes
106,28/03/2018,8,10.3,77,0.7,341,6.4,0.37,0,0,Spring,No Holiday,Yes
107,14/06/2018,18,24,61,1.5,1935,16,0.26,0,0,Summer,No Holiday,Yes
108,28/09/2018,21,17.8,66,1.1,2000,11.3,0,0,0,Autumn,No Holiday,No
109,19/05/2018,10,17.2,45,2.1,2000,5.1,2.61,0,0,Spring,No Holiday,Yes
110,29/04/2018,4,10.3,63,0.7,1277,3.5,0,0,0,Spring,No Holiday,Yes
111,11/11/2018,1,8.8,89,0.7,213,7,0,0,0,Autumn,No Holiday,Yes
112,1/4/2018,13,17.9,60,2.2,1248,10,0.86,0,0,Spring,No Holiday,Yes
113,1/8/2018,11,35.8,41,1.6,1795,20.4,2.77,0,0,Summer,No Holiday,Yes
114,13/05/2018,13,19.1,65,1.9,1145,12.3,2.26,0,0,Spring,No Holiday,Yes
115,31/05/2018,4,14.8,85,0.7,478,12.2,0,0,0,Spring,No Holiday,Yes
116,25/09/2018,14,23.7,28,1.4,2000,4,2.77,0,0,Autumn,Holiday,Yes
117,15/08/2018,8,29.9,60,0.8,1772,21.2,0.83,0,0,Summer,Holiday,Yes
118,6/11/2018,19,13.3,72,1.1,234,8.3,0,0,0,Autumn,No Holiday,No
119,18/12/2017,9,-4.3,89,1,59,-5.8,0,1.6,4,Winter,No Holiday,Yes
120,13/08/2018,4,27.1,91,0.9,585,25.4,0,0,0,Summer,No Holiday,Yes
121,28/02/2018,1,5,53,1.4,557,-3.8,0,0,0,Winter,No Holiday,Yes
122,21/04/2018,6,12.3,67,0.5,483,6.3,0,0,0,Spring,No Holiday,Yes
123,27/07/2018,1,28.3,78,0.5,1072,24,0,0,0,Summer,No Holiday,Yes
124,16/06/2018,23,22.1,73,1.6,1180,17,0,0,0,Summer,No Holiday,Yes
125,10/12/2017,23,-1.4,43,4.3,2000,-12.3,0,0,0,Winter,No Holiday,Yes
126,25/06/2018,15,32.7,31,1.7,1243,13.3,2.3,0,0,Summer,No Holiday,Yes
127,18/08/2018,11,28.4,35,1.6,2000,11.4,2.82,0,0,Summer,No Holiday,Yes
128,9/10/2018,5,10.8,64,0.8,2000,4.2,0,0,0,Autumn,Holiday,No
129,11/2/2018,15,-2.6,31,2.7,1987,-17.4,1.36,0,0,Winter,No Holiday,Yes
130,4/10/2018,0,15.5,65,0.8,2000,8.9,0,0,0,Autumn,No Holiday,No
131,16/07/2018,17,33,46,3.1,1926,19.8,1.89,0,0,Summer,No Holiday,Yes
132,25/02/2018,2,-1.5,46,1.1,1744,-11.6,0,0,0,Winter,No Holiday,Yes
133,2/4/2018,21,17.9,64,2.1,1652,10.9,0,0,0,Spring,No Holiday,Yes
134,12/4/2018,7,7.6,54,1.7,1690,-1.1,0.13,0,0,Spring,No Holiday,Yes
135,16/12/2017,18,-5.3,28,3.5,2000,-21,0,0,0,Winter,No Holiday,Yes
136,10/9/2018,8,20.1,57,1.6,2000,11.3,0.73,0,0,Autumn,No Holiday,Yes
137,18/03/2018,17,11.1,42,2.2,765,-1.3,0.34,0,0,Spring,No Holiday,Yes
138,3/12/2017,3,3.4,71,1.6,1011,-1.3,0,0.5,0,Winter,No Holiday,Yes
139,11/12/2017,15,-5.5,33,4.5,2000,-19.2,0.92,0,0,Winter,No Holiday,Yes
140,24/03/2018,9,6.5,40,2.5,588,-6.1,0.69,0,0,Spring,No Holiday,Yes
141,9/6/2018,3,19.1,84,0.6,421,16.3,0,0,0,Summer,No Holiday,Yes
142,15/04/2018,17,11.8,60,2.9,1457,4.2,0.6,0,0,Spring,No Holiday,Yes
143,16/11/2018,18,9.9,74,2.6,492,5.4,0,0,0,Autumn,No Holiday,Yes
144,16/08/2018,4,27.8,69,0.9,2000,21.5,0,0,0,Summer,No Holiday,Yes
145,9/6/2018,13,28.8,42,2,1438,14.6,2.38,0,0,Summer,No Holiday,Yes
146,5/4/2018,14,8,95,1.5,514,7.2,0.35,0,0,Spring,No Holiday,Yes
147,11/4/2018,14,16.4,28,3.4,1804,-2.1,3.16,0,0,Spring,No Holiday,No
148,13/02/2018,3,-6.2,61,1.3,1992,-12.5,0,0,0,Winter,No Holiday,Yes
149,10/6/2018,3,18.6,78,0.8,1997,14.6,0,0,0,Summer,No Holiday,Yes
150,17/05/2018,21,20.5,97,1.1,726,20,0,4,0,Spring,No Holiday,Yes
151,27/10/2018,20,7.6,44,4.2,2000,-3.8,0,0,0,Autumn,No Holiday,Yes
152,5/4/2018,18,7.6,96,2,660,6.9,0.04,0,0,Spring,No Holiday,Yes
153,1/11/2018,16,14.7,32,2,1934,-1.8,1.13,0,0,Autumn,No Holiday,Yes
154,11/1/2018,13,-8.6,41,3.4,1593,-19.5,1.2,0,0,Winter,No Holiday,Yes
155,2/9/2018,23,25.1,65,2.2,2000,18,0,0,0,Autumn,No Holiday,Yes
156,20/02/2018,21,1.1,21,1.6,2000,-18.8,0,0,0,Winter,No Holiday,Yes
157,5/4/2018,12,7.3,95,2.2,676,6.5,0.3,0.5,0,Spring,No Holiday,Yes
158,24/08/2018,15,24,94,3.1,1188,22.9,0.41,0.5,0,Summer,No Holiday,Yes
159,7/12/2017,12,3.7,65,2.4,833,-2.2,0.98,0,0.3,Winter,No Holiday,Yes
160,6/5/2018,12,15.7,96,1.1,568,15,0.5,3,0,Spring,No Holiday,Yes
161,9/7/2018,23,20.4,96,0.6,1137,19.7,0,1,0,Summer,No Holiday,Yes
162,5/10/2018,21,16.5,96,2.2,963,15.8,0,1.5,0,Autumn,No Holiday,Yes
163,14/07/2018,12,30.2,58,2.3,1359,21,2.64,0,0,Summer,No Holiday,Yes
164,3/5/2018,14,12.7,75,3.8,1510,8.3,0.88,0.4,0,Spring,No Holiday,Yes
165,8/9/2018,21,22.1,49,1.7,2000,10.8,0,0,0,Autumn,No Holiday,Yes
166,11/12/2017,18,-7.9,43,3.3,2000,-18.3,0,0,0,Winter,No Holiday,Yes
167,2/3/2018,8,-6.2,45,0.4,1600,-16.2,0.17,0,0,Spring,No Holiday,Yes
168,11/1/2018,23,-13.2,51,1.5,1972,-21.2,0,0,0,Winter,No Holiday,Yes
169,25/08/2018,23,22.9,78,1.4,2000,18.8,0,0,0,Summer,No Holiday,Yes
170,30/03/2018,9,13.7,46,1.3,972,2.2,1.08,0,0,Spring,No Holiday,Yes
171,7/4/2018,3,1.5,82,3.5,372,-1.2,0,0.1,0,Spring,No Holiday,Yes
172,25/11/2018,20,5.5,77,0.7,490,1.7,0,0,0.4,Autumn,No Holiday,Yes
173,8/2/2018,20,-2.8,40,1.5,1593,-14.5,0,0,0,Winter,No Holiday,Yes
174,10/12/2017,18,2,61,3,2000,-4.7,0,0,0,Winter,No Holiday,Yes
175,10/6/2018,4,18.3,72,1.7,2000,13.1,0,0,0,Summer,No Holiday,Yes
176,7/3/2018,11,8,43,1.7,1909,-3.8,1.74,0,0,Spring,No Holiday,Yes
177,26/10/2018,3,12.8,57,0.5,1715,4.4,0,0,0,Autumn,No Holiday,Yes
178,12/5/2018,9,11.8,95,1,168,11,0.14,3,0,Spring,No Holiday,Yes
179,31/05/2018,18,26.4,42,3.1,1995,12.4,0.79,0,0,Spring,No Holiday,Yes
180,23/10/2018,10,13.8,65,1.1,475,7.3,1.06,0,0,Autumn,No Holiday,Yes
181,2/6/2018,7,18.1,59,0.6,789,9.9,0.47,0,0,Summer,No Holiday,Yes
182,24/01/2018,16,-11.2,30,4.7,2000,-25.3,0.77,0,0.7,Winter,No Holiday,Yes
183,1/10/2018,20,15.4,63,2.1,2000,8.3,0,0,0,Autumn,No Holiday,Yes
184,4/7/2018,5,24.2,86,0.2,2000,21.7,0,0,0,Summer,No Holiday,Yes
185,21/01/2018,12,3.9,30,1.6,1085,-12.1,0.91,0,0,Winter,No Holiday,Yes
186,21/07/2018,20,31.5,53,1.8,2000,20.7,0.08,0,0,Summer,No Holiday,Yes
187,18/06/2018,1,21,74,0.5,990,16.1,0,0,0,Summer,No Holiday,Yes
188,12/12/2017,13,-6.9,37,2.4,1955,-19.1,1.22,0,0,Winter,No Holiday,Yes
189,5/11/2018,12,16.4,48,2.1,653,5.3,1.68,0,0,Autumn,No Holiday,Yes
190,18/01/2018,2,3.3,73,1.2,288,-1,0,0,0,Winter,No Holiday,Yes
191,28/01/2018,6,-7.8,35,1.9,2000,-20.6,0,0,0,Winter,No Holiday,Yes
192,14/03/2018,16,21.7,41,3.2,2000,7.8,1.91,0,0,Spring,No Holiday,Yes
193,13/04/2018,1,10,23,0.7,2000,-10.2,0,0,0,Spring,No Holiday,Yes
194,9/8/2018,11,30.8,63,2.4,1919,22.9,0.94,0,0,Summer,No Holiday,Yes
195,3/2/2018,9,-9.4,47,3.3,1995,-18.6,0.42,0,0.3,Winter,No Holiday,Yes
196,19/04/2018,5,7.9,59,1.4,1005,0.3,0,0,0,Spring,No Holiday,Yes
197,6/10/2018,10,17,97,1.5,676,16.5,0.15,6,0,Autumn,No Holiday,Yes
198,29/01/2018,12,-7.3,23,3.8,1903,-24.9,1.17,0,0,Winter,No Holiday,Yes
199,31/01/2018,1,-1.6,81,1.1,1141,-4.4,0,0,3.5,Winter,No Holiday,Yes
200,15/06/2018,13,25.3,48,1.8,1935,13.4,3.42,0,0,Summer,No Holiday,Yes
201,11/8/2018,7,26.7,67,0.8,2000,20,0.13,0,0,Summer,No Holiday,Yes
202,6/1/2018,7,-6.6,65,1,1320,-12,0,0,0,Winter,No Holiday,Yes
203,5/12/2017,4,-7.2,34,3,2000,-20.4,0,0,0,Winter,No Holiday,Yes
204,21/07/2018,9,29.6,57,0.9,977,20.1,1.71,0,0,Summer,No Holiday,Yes
205,24/10/2018,16,18.2,42,1.3,1976,5,1.22,0,0,Autumn,No Holiday,Yes
206,15/11/2018,22,8.7,53,0.4,764,-0.3,0,0,0,Autumn,No Holiday,Yes
207,5/10/2018,16,17.1,97,1.7,382,16.6,0.15,6,0,Autumn,No Holiday,Yes
208,30/04/2018,16,24.8,45,1.8,549,12,2.05,0,0,Spring,No Holiday,Yes
209,19/02/2018,1,-1.4,42,1.1,1805,-12.6,0,0,0,Winter,No Holiday,Yes
210,8/9/2018,15,26.9,33,2.9,1997,9.2,2.65,0,0,Autumn,No Holiday,Yes
211,8/2/2018,22,-3.9,41,0.4,1462,-15.2,0,0,0,Winter,No Holiday,Yes
212,23/04/2018,16,9.6,96,1.7,1409,8.9,0.23,1,0,Spring,No Holiday,Yes
213,1/4/2018,14,17.5,67,2.1,832,11.2,0.42,0,0,Spring,No Holiday,Yes
214,26/02/2018,20,4.3,32,1.7,1101,-10.9,0,0,0,Winter,No Holiday,Yes
215,30/12/2017,12,3.2,64,0.8,258,-2.9,0.47,0,0,Winter,No Holiday,Yes
216,4/7/2018,12,30.5,58,2.5,1741,21.2,2.26,0,0,Summer,No Holiday,Yes
217,19/06/2018,12,25.8,48,1.5,1487,13.9,2.31,0,0,Summer,No Holiday,Yes
218,9/5/2018,14,20.7,36,2.2,1788,5,3.1,0,0,Spring,No Holiday,Yes
219,31/08/2018,0,23.9,75,1.7,1192,19.1,0,0,0,Summer,No Holiday,Yes
220,12/9/2018,13,26.8,45,1.8,1984,13.8,2.6,0,0,Autumn,No Holiday,Yes
221,1/12/2017,10,-3.5,24,1.2,1996,-21.2,0.65,0,0,Winter,No Holiday,Yes
222,16/10/2018,23,12.9,78,0.6,1201,9.1,0,0,0,Autumn,No Holiday,Yes
223,26/02/2018,16,9.5,31,3.1,973,-6.8,1.54,0,0,Winter,No Holiday,Yes
224,26/08/2018,4,21.2,86,0.5,1724,18.7,0,0,0,Summer,No Holiday,Yes
225,3/8/2018,17,35.8,49,3.9,1633,23.4,1.52,0,0,Summer,No Holiday,Yes
226,22/08/2018,11,32.1,49,1.6,1874,20,2.63,0,0,Summer,No Holiday,Yes
227,4/1/2018,5,-7.6,49,1.3,2000,-16.4,0,0,0,Winter,No Holiday,Yes
228,1/8/2018,9,32.4,53,0.7,1264,21.5,1.69,0,0,Summer,No Holiday,Yes
229,22/09/2018,14,25.2,28,4.4,2000,5.3,2.76,0,0,Autumn,No Holiday,Yes
230,11/12/2017,6,-5.9,39,2.9,1979,-17.6,0,0,0,Winter,No Holiday,Yes
231,8/4/2018,15,7.3,38,0.8,2000,-6.1,0.38,0,0,Spring,No Holiday,Yes
232,4/11/2018,6,6.2,73,0.3,1018,1.7,0,0,0,Autumn,No Holiday,Yes
233,26/02/2018,6,-2.7,72,0.5,1253,-7,0,0,0,Winter,No Holiday,Yes
234,4/9/2018,11,24.5,64,2.7,2000,17.2,2.7,0,0,Autumn,No Holiday,Yes
235,5/3/2018,2,6.3,89,2.2,1456,4.6,0,0,0,Spring,No Holiday,Yes
236,30/03/2018,0,11.8,78,0.6,438,8,0,0,0,Spring,No Holiday,Yes
237,14/04/2018,17,9.3,81,2.4,2000,6.1,0.52,0,0,Spring,No Holiday,Yes
238,18/06/2018,0,21.3,74,1.4,963,16.4,0,0,0,Summer,No Holiday,Yes
239,31/08/2018,13,28.7,46,2.6,1815,15.9,3.1,0,0,Summer,No Holiday,Yes
240,7/5/2018,1,15.1,84,0.3,1858,12.4,0,0,0,Spring,No Holiday,Yes
241,20/06/2018,23,20.1,82,3.6,494,16.9,0,0,0,Summer,No Holiday,Yes
242,21/02/2018,19,-0.1,39,2.8,2000,-12.4,0,0,0,Winter,No Holiday,Yes
243,21/04/2018,16,24.8,13,3.3,1955,-5.5,2.5,0,0,Spring,No Holiday,Yes
244,6/4/2018,22,3.9,68,3,737,-1.4,0,0,0,Spring,No Holiday,Yes
245,30/09/2018,22,14.6,46,2.2,2000,3,0,0,0,Autumn,No Holiday,No
246,27/03/2018,10,13.9,40,0.8,586,0.5,1.6,0,0,Spring,No Holiday,Yes
247,27/07/2018,13,35.3,48,2.5,880,22.6,2.89,0,0,Summer,No Holiday,Yes
248,25/04/2018,11,17.5,25,1.3,1843,-2.7,2.74,0,0,Spring,No Holiday,Yes
249,8/10/2018,18,18.1,39,1,2000,3.9,0.21,0,0,Autumn,No Holiday,Yes
250,14/10/2018,12,17.2,33,1.1,1258,0.7,2.28,0,0,Autumn,No Holiday,Yes
251,24/09/2018,6,14.3,66,0.5,2000,8,0,0,0,Autumn,Holiday,Yes
252,6/3/2018,20,6.1,31,2.8,2000,-9.8,0,0,0,Spring,No Holiday,Yes
253,30/04/2018,14,24,47,2.3,520,11.9,2.87,0,0,Spring,No Holiday,Yes
254,6/11/2018,0,10,73,0.5,700,5.3,0,0,0,Autumn,No Holiday,No
255,25/04/2018,9,11.7,32,0.8,1862,-4.4,1.6,0,0,Spring,No Holiday,Yes
256,12/9/2018,9,20.8,48,1.1,2000,9.3,1.38,0,0,Autumn,No Holiday,Yes
257,30/11/2018,13,7.1,24,2.8,1838,-12.1,1.83,0,0,Autumn,No Holiday,Yes
258,18/02/2018,9,-4.1,30,0.5,2000,-19.1,0.28,0,0,Winter,No Holiday,Yes
259,17/02/2018,23,-2.9,31,3.8,2000,-17.7,0,0,0,Winter,Holiday,Yes
260,25/08/2018,21,23.9,71,2.3,2000,18.3,0,0,0,Summer,No Holiday,Yes
261,16/06/2018,5,16.6,65,1.2,2000,9.9,0,0,0,Summer,No Holiday,Yes
262,13/08/2018,14,33.6,55,1.1,1375,23.3,0.94,0,0,Summer,No Holiday,Yes
263,1/1/2018,4,-4.2,53,1.1,1994,-12.3,0,0,0,Winter,Holiday,Yes
264,16/09/2018,23,21.3,80,2.6,1203,17.7,0,0,0,Autumn,No Holiday,Yes
265,5/6/2018,10,25.5,43,1,1568,11.9,2.49,0,0,Summer,No Holiday,Yes
266,6/4/2018,7,5.7,95,3.4,1136,4.9,0.02,0,0,Spring,No Holiday,Yes
267,16/11/2018,11,11.9,44,2.1,791,0,1.22,0,0,Autumn,No Holiday,Yes
268,5/5/2018,20,19.7,53,2,1841,9.8,0,0,0,Spring,No Holiday,Yes
269,1/12/2017,2,-6,39,1,2000,-17.7,0,0,0,Winter,No Holiday,Yes
270,4/7/2018,16,31.6,57,2.7,1882,22,2.19,0,0,Summer,No Holiday,Yes
271,16/05/2018,19,21.9,97,2.2,196,21.3,0.01,0,0,Spring,No Holiday,Yes
272,8/8/2018,21,29.7,71,3.2,1934,23.8,0,0,0,Summer,No Holiday,Yes
273,19/02/2018,17,5.7,36,3,1073,-8.2,0.57,0,0,Winter,No Holiday,Yes
274,12/9/2018,22,22.6,60,1,2000,14.4,0,0,0,Autumn,No Holiday,Yes
275,29/03/2018,11,16.1,63,1.2,555,9,1.08,0,0,Spring,No Holiday,Yes
276,3/6/2018,16,30.4,28,3.6,1790,9.8,2.48,0,0,Summer,No Holiday,Yes
277,15/04/2018,20,10.3,62,2,1749,3.3,0,0,0,Spring,No Holiday,Yes
278,10/8/2018,15,34.8,47,2.4,2000,21.8,2.21,0,0,Summer,No Holiday,Yes
279,16/06/2018,18,28,46,2.3,1833,15.2,1.23,0,0,Summer,No Holiday,Yes
280,7/4/2018,16,7.9,34,4.7,1979,-7,1.09,0,0,Spring,No Holiday,Yes
